Country Code,IMF Country Code,Country,Indicator Type,Series Name,19701,19702,19703,19704,19711,19712,19713,19714,19721,19722,19723,19724,19731,19732,19733,19734,19741,19742,19743,19744,19751,19752,19753,19754,19761,19762,19763,19764,19771,19772,19773,19774,19781,19782,19783,19784,19791,19792,19793,19794,19801,19802,19803,19804,19811,19812,19813,19814,19821,19822,19823,19824,19831,19832,19833,19834,19841,19842,19843,19844,19851,19852,19853,19854,19861,19862,19863,19864,19871,19872,19873,19874,19881,19882,19883,19884,19891,19892,19893,19894,19901,19902,19903,19904,19911,19912,19913,19914,19921,19922,19923,19924,19931,19932,19933,19934,19941,19942,19943,19944,19951,19952,19953,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214
ABW,314,Aruba,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.36,40.44,40.76,41.61,41.71,42.03,42.30,43.01,43.34,43.61,43.80,44.26,44.44,44.96,45.51,45.92,46.42,46.71,47.26,48.15,48.79,49.50,50.76,51.30,51.78,52.34,52.74,53.13,53.83,54.27,54.99,55.63,56.13,57.34,58.39,59.32,60.17,60.99,61.37,61.73,62.21,62.76,63.28,63.75,64.34,64.77,65.18,66.20,66.22,66.40,66.97,67.41,67.50,67.76,68.09,68.36,68.77,69.44,70.36,71.02,71.75,72.42,72.94,73.42,73.89,74.31,74.81,75.12,76.16,77.03,77.95,79.03,79.20,79.46,79.77,80.36,81.11,81.78,82.24,82.28,83.92,84.75,85.60,85.91,87.23,88.18,87.36,89.00,91.05,92.80,94.65,97.52,99.89,104.16,98.83,94.58,96.61,100.26,100.41,99.85,100.30,100.06,99.79,100.48,104.57,106.17,106.05,106.12,106.30,104.56,102.91,102.53,102.61,102.66,102.13,102.10,102.64,103.12,103.79,103.13,103.64,103.75,103.09,102.11,102.24,102.64,102.76,101.34,101.47,101.04,101.68,103.50,104.74,105.99,106.02,106.98,109.59,110.26,111.30,,,,,,,,
AFG,512,Afghanistan,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.29,65.41,67.15,69.22,70.78,72.06,74.28,76.02,75.61,75.90,78.23,78.87,80.64,84.09,88.70,93.80,106.81,110.32,109.15,102.10,95.66,96.27,97.43,96.01,97.15,101.12,105.71,108.95,109.78,112.37,116.12,117.43,118.06,117.78,122.75,125.22,126.72,128.08,131.16,132.61,133.39,134.54,134.52,132.93,131.04,131.96,135.60,136.63,137.04,139.18,141.99,143.46,146.89,145.42,146.67,147.26,145.34,145.51,147.97,148.50,151.42,149.17,150.50,153.74,,,,,,,
AGO,614,Angola,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.05,0.08,0.09,0.09,0.12,0.14,0.16,0.22,0.27,0.37,0.47,0.72,1.18,1.62,2.39,3.31,4.32,5.33,6.95,7.91,9.20,11.67,13.67,16.54,19.51,24.07,28.90,32.99,35.73,39.26,42.67,45.19,47.57,50.54,52.90,54.70,56.65,58.50,59.92,61.44,63.49,65.70,67.33,69.05,71.09,73.45,75.45,77.85,80.50,83.36,85.93,88.61,91.53,94.83,97.77,101.44,105.96,109.04,112.03,114.86,118.00,121.37,123.79,126.17,129.25,132.31,135.11,137.50,139.60,142.29,144.60,147.23,150.04,153.23,157.48,163.47,170.04,184.51,203.41,225.03,239.84,256.84,272.67,287.57,305.98,317.42,329.12,342.88,360.38,374.28,385.55,400.94,419.60,444.55,469.43,,,,,,
ALB,914,Albania,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.94,1.83,3.98,4.61,5.29,6.60,9.64,12.58,19.08,25.44,28.59,29.04,32.00,33.84,35.13,39.32,38.13,38.75,40.70,41.39,39.83,41.21,43.28,44.81,46.98,48.81,53.99,60.35,62.52,68.03,73.14,74.80,72.95,74.56,75.93,74.74,72.37,73.56,74.73,74.40,72.12,75.50,76.36,76.74,75.31,77.56,81.90,80.56,79.66,80.71,82.92,83.40,82.02,83.00,85.72,84.98,83.44,84.75,87.63,86.71,85.45,87.12,88.87,89.00,87.92,89.35,91.31,90.49,91.01,92.50,94.72,94.35,93.68,94.83,96.43,96.32,95.69,97.58,100.30,99.99,98.96,100.75,104.67,103.64,102.11,103.30,105.78,105.61,104.90,105.84,108.44,107.95,106.48,107.43,110.52,109.65,108.34,108.79,112.62,111.66,110.30,111.01,113.34,112.47,112.39,113.07,116.05,114.77,114.33,115.09,118.28,117.28,116.84,117.17,120.14,118.92,118.48,118.66,122.06,121.23,120.13,120.50,123.19,123.39,122.99,124.22
ARE,466,United Arab Emirates,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.26,78.01,76.07,86.95,86.95,86.95,86.95,94.20,96.91,99.39,99.92,99.24,98.34,99.21,99.73,99.23,99.19,100.17,101.40,100.67,100.60,100.83,101.41,101.30,101.26,101.65,101.96,102.04,102.32,102.94,103.36,103.76,104.49,105.56,106.48,107.76,108.95,110.37,110.31,109.98,110.77,111.77,111.95,112.89,113.00,112.93,114.40,117.61,116.88,116.97,115.65,114.71,115.07,114.47,113.85,113.09,112.41,111.76,111.32,111.23,111.87,,
ARG,213,Argentina,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.63,88.28,93.55,98.56,103.80,110.43,115.60,121.73,130.07,140.40,156.53,,,,,,,,,,,,,
ARM,911,Armenia,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.07,0.10,1.06,4.85,14.29,17.60,27.46,39.92,45.57,44.12,47.54,53.33,53.57,51.29,52.06,55.57,59.08,61.31,63.64,69.10,67.20,61.63,62.45,66.41,66.63,64.24,64.80,66.48,65.59,63.61,64.32,68.14,68.30,65.65,66.09,68.44,70.37,65.54,66.67,70.74,72.49,68.90,71.69,76.31,77.80,74.68,74.78,79.66,77.95,73.31,74.59,78.03,79.30,78.17,78.83,81.81,82.68,79.86,83.86,88.26,91.00,88.77,89.55,90.03,94.03,91.78,93.92,98.24,100.46,99.18,102.11,109.12,109.30,104.88,107.30,112.76,110.43,107.44,110.98,116.15,116.16,116.75,118.12,121.53,119.98,117.80,121.80,127.77,126.13,122.17,123.00,126.01,123.99,120.12,121.94,125.60,125.60,121.23,124.40,129.73,127.61,124.93,127.08,131.70,130.74,126.08,128.18,131.54,132.35,128.09,130.99,138.39,140.54,139.14,142.48
ATG,311,Antigua and Barbuda,index,Headline Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.44,78.91,79.17,79.01,79.50,79.55,80.21,80.07,80.15,80.60,81.04,80.39,81.34,81.12,81.47,81.90,82.30,82.21,82.47,83.58,84.29,84.22,84.71,85.51,85.40,86.13,86.47,86.66,87.70,87.82,88.30,88.48,88.95,89.49,90.93,90.78,91.08,91.34,91.04,91.02,91.21,92.57,94.60,95.99,97.04,98.37,97.70,95.66,95.79,96.95,98.56,98.88,99.70,100.15,101.27,101.37,102.87,104.29,105.30,106.56,107.07,106.92,107.25,108.14,108.07,107.51,108.60,108.69,108.93,109.47,109.96,110.37,109.71,110.14,111.05,110.39,109.26,109.61,109.86,112.47,112.45,112.42,112.44,113.02,113.82,114.10,114.30,114.05,115.93,115.95,115.81,116.12,114.94,116.32,117.26,118.03,117.79,118.46,119.95
AUS,193,Australia,index,Headline Consumer Price Index,9.99,10.09,10.20,10.41,10.51,10.61,10.93,11.13,11.24,11.34,11.55,11.65,11.86,12.28,12.70,13.11,13.53,14.05,14.78,15.30,15.92,16.44,16.55,17.48,18.00,18.42,18.83,19.98,20.40,20.92,21.33,21.85,22.16,22.58,23.00,23.52,23.93,24.56,25.18,25.91,26.43,27.26,27.68,28.30,28.93,29.55,30.18,31.43,32.05,32.78,33.92,34.96,35.69,36.42,37.04,37.98,37.77,37.88,38.40,38.92,39.44,40.37,41.31,42.14,43.08,43.81,44.95,46.20,47.14,47.87,48.70,49.53,50.36,51.30,52.24,53.28,53.80,55.15,56.40,57.44,58.48,59.42,59.83,61.39,61.29,61.39,61.71,62.33,62.33,62.12,62.23,62.54,63.06,63.27,63.58,63.68,64.00,64.41,64.83,65.35,66.39,67.33,68.16,68.68,68.89,69.41,69.61,69.72,69.82,69.61,69.30,69.51,69.72,70.14,70.24,70.55,70.55,70.86,71.49,71.90,72.53,73.05,75.86,76.07,76.90,77.52,77.73,78.46,79.19,79.71,80.23,80.75,81.79,81.79,82.31,82.73,83.45,83.87,84.18,84.81,85.43,85.95,86.78,87.20,87.93,89.39,90.22,90.11,90.11,91.26,91.88,92.72,93.96,95.32,96.46,96.15,96.25,96.67,97.61,98.13,99.06,99.69,100.42,100.83,102.29,103.23,103.85,103.85,103.95,104.47,105.93,106.14,106.56,106.97,108.22,109.05,109.68,110.20,110.72,110.93,111.13,111.86,112.38,112.80,112.59,113.01,113.84,114.46,114.98,115.19,115.92,116.65,117.17,117.59,118.11,118.73,118.73,119.46,120.08,120.92,121.33,119.04,120.92,121.96,122.68,123.62,124.56,126.22
