Country Code,IMF Country Code,Country,Indicator Type,Series Name,19701,19702,19703,19704,19711,19712,19713,19714,19721,19722,19723,19724,19731,19732,19733,19734,19741,19742,19743,19744,19751,19752,19753,19754,19761,19762,19763,19764,19771,19772,19773,19774,19781,19782,19783,19784,19791,19792,19793,19794,19801,19802,19803,19804,19811,19812,19813,19814,19821,19822,19823,19824,19831,19832,19833,19834,19841,19842,19843,19844,19851,19852,19853,19854,19861,19862,19863,19864,19871,19872,19873,19874,19881,19882,19883,19884,19891,19892,19893,19894,19901,19902,19903,19904,19911,19912,19913,19914,19921,19922,19923,19924,19931,19932,19933,19934,19941,19942,19943,19944,19951,19952,19953,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214
AGO,614,Angola,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.36,102.43,106.36,110.03,122.39,131.98,136.32,137.85,139.98,142.13,144.83,151.18,154.96,158.48,186.01,237.78,241.15,247.38,262.13,266.87,272.02,276.22,281.05,288.88,,,,
ALB,914,Albania,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.63,79.20,79.17,79.83,81.23,81.90,82.03,84.73,87.10,87.27,87.60,87.87,88.00,89.40,91.27,91.37,92.13,92.60,92.57,92.37,92.97,95.77,95.80,96.17,97.00,98.30,98.73,98.63,98.90,99.37,100.00,99.53,99.10,99.27,99.20,99.70,100.87,101.27,100.83,100.53,101.67,101.93,100.10,100.30,100.00,100.70,100.50,100.30,100.97,101.40,101.43,101.43,102.23,104.27,104.17,104.30,105.13,105.23,105.23,105.07,105.27,106.90,106.73,106.60,106.80,106.90,107.04,107.55,108.53
ARE,466,United Arab Emirates,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.03,99.91,104.09,104.45,102.77,100.77,102.15,102.52,102.04,101.30,101.14,102.46,101.31,100.15,98.06,97.56,97.40,96.70,96.51,96.26,96.53,96.76,97.11,97.47,98.52,99.24,100.25,101.99,106.44,108.76,109.64,110.47,111.90,112.36,113.41,113.18,114.13,113.86,113.39,113.43,113.28,110.98,108.89,107.57,106.37,104.83,103.82,102.79,101.55,100.92,100.72,99.72,98.20,97.29,,
ARG,213,Argentina,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.44,119.52,126.71,139.35,161.50,177.94,191.40,220.77,246.03,272.65,293.24,310.09,320.80,325.62,337.95,357.37,382.55,410.78,438.51,461.66
AUS,193,Australia,index,Energy Price Index,,5.87,5.98,6.27,6.23,6.29,6.29,6.59,6.64,6.63,6.68,6.69,6.68,6.66,6.92,7.38,7.52,7.68,8.00,8.07,8.91,9.24,9.28,9.93,10.19,10.05,10.19,10.23,10.70,10.61,10.75,11.54,11.50,11.71,11.74,13.35,13.82,14.78,15.79,17.05,17.10,18.84,18.56,18.93,20.30,21.66,21.03,21.88,22.07,22.78,25.22,25.85,26.61,25.79,27.29,28.57,28.43,28.97,29.41,29.49,30.14,32.13,32.82,32.18,32.91,30.44,31.88,33.47,34.01,33.38,33.75,34.77,34.94,33.57,33.92,33.47,33.48,35.21,35.91,37.01,38.48,38.49,39.50,45.57,41.10,39.71,41.65,41.58,41.36,41.45,42.79,42.97,42.45,42.66,42.88,43.11,42.10,43.23,43.45,42.87,43.39,43.84,44.90,44.52,44.43,45.20,44.87,45.60,46.09,45.65,45.62,45.88,44.73,44.96,43.74,43.51,42.93,44.09,46.30,46.66,48.90,49.77,55.13,55.55,54.36,55.35,53.14,51.84,52.36,54.57,54.62,55.13,59.07,55.38,56.78,56.41,58.04,59.76,61.52,62.56,62.00,64.50,69.62,69.27,70.39,75.28,75.23,69.11,70.21,74.02,73.17,76.69,80.74,85.23,87.67,77.17,74.43,75.92,80.40,79.46,83.13,84.18,84.13,85.30,91.05,92.80,94.64,95.22,97.59,97.98,102.16,103.35,105.00,103.19,109.52,108.71,111.90,110.02,106.79,102.77,97.41,102.94,101.36,98.30,93.85,96.31,96.91,99.73,103.96,102.69,105.78,110.86,113.03,115.78,116.96,115.67,110.64,115.08,114.13,116.00,113.11,101.38,105.15,115.72,111.82,110.82,115.06,135.19
AUT,122,Austria,index,Energy Price Index,19.17,19.54,20.02,20.24,20.39,20.67,20.77,20.95,21.42,21.36,21.70,22.02,22.22,22.60,22.97,24.51,26.91,28.16,28.49,29.48,31.50,31.75,31.61,32.02,32.28,34.44,34.46,34.64,35.07,34.87,34.84,35.02,35.09,35.44,35.53,35.80,36.06,36.81,39.02,39.50,42.38,44.76,45.84,46.86,51.30,53.09,54.57,56.44,57.65,57.34,57.18,57.22,57.25,55.28,55.93,57.24,60.51,59.69,60.14,61.78,62.66,63.95,62.76,61.94,59.69,56.02,53.55,52.75,52.85,52.79,52.50,52.84,52.01,51.24,51.13,50.87,51.26,53.20,52.40,53.15,53.91,53.02,54.61,57.29,54.55,54.64,54.93,54.75,56.31,56.31,56.31,56.54,56.41,55.80,55.84,55.89,56.89,56.58,57.01,56.64,57.15,58.77,59.70,59.95,60.67,61.72,63.33,64.86,64.93,64.36,64.28,64.52,63.49,62.50,61.96,61.69,61.12,61.60,63.03,64.94,66.32,67.52,70.57,73.08,70.01,71.04,69.98,67.95,67.20,68.35,68.16,68.61,69.88,68.25,68.42,68.37,69.81,72.67,73.91,76.12,75.75,79.12,83.00,83.19,83.30,86.27,87.60,83.94,84.93,87.36,89.72,93.30,95.74,101.22,102.24,92.66,86.13,88.09,90.07,90.39,92.18,96.51,95.79,97.10,102.94,106.18,106.25,107.93,110.13,110.48,111.88,111.49,111.27,109.49,110.64,109.01,108.89,108.82,108.76,105.01,100.33,102.90,100.13,96.63,92.73,95.90,96.03,97.60,98.80,97.33,96.57,99.20,99.30,102.13,104.03,107.10,102.73,104.87,104.20,104.47,103.30,96.53,96.90,106.91,105.93,106.88,111.54,133.11
AZE,912,Azerbaijan,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,44.21,43.88,43.94,43.97,43.97,44.03,44.63,72.57,72.68,72.69,72.76,73.18,73.65,73.67,73.72,73.78,73.81,99.59,99.69,99.98,99.97,100.00,100.05,103.58,105.37,105.55,106.26,107.30,107.36,107.54,107.54,107.49,107.65,107.93,108.35,108.76,109.16,109.51,109.68,109.90,108.64,108.75,109.03,110.95,112.69,119.92,122.95,130.79,139.43,143.62,143.94,137.93,145.53,149.36,149.56,143.71,143.93,143.99,149.90,147.13,143.95,147.66,151.62,157.77,161.91,177.01,186.26
BDI,618,Burundi,index,Energy Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.10,18.23,18.59,19.17,19.88,19.94,22.50,23.74,26.96,28.85,28.97,29.04,29.06,29.61,29.35,29.62,30.25,30.54,30.70,30.74,30.98,31.06,31.54,33.59,36.96,34.66,34.62,34.02,36.55,38.78,38.64,37.67,39.46,38.56,43.87,46.15,47.16,48.26,49.71,49.68,52.23,50.93,55.75,58.94,58.26,58.74,61.08,61.03,60.51,62.30,64.68,66.25,82.49,84.56,83.34,84.07,88.89,88.85,88.95,89.08,93.49,93.69,97.46,95.88,98.51,99.09,99.19,97.78,98.88,98.99,100.67,99.85,104.57,107.28,107.58,108.47,115.23,119.93,118.70,120.40,121.07,122.67,121.33,123.17,126.17,128.50,129.33,128.93,133.97,136.90,138.50,
BEL,124,Belgium,index,Energy Price Index,,,,,,,,,,,,,,,,,,,22.21,22.83,23.77,24.66,25.32,24.79,25.34,25.66,25.88,25.85,26.19,26.60,26.56,26.46,26.26,26.52,26.72,27.56,28.40,30.10,32.41,34.50,38.25,39.56,39.13,43.09,45.62,46.37,50.49,51.11,51.27,54.72,57.01,59.35,56.04,55.92,58.95,59.20,59.87,59.93,60.51,62.88,64.71,64.85,63.74,63.01,57.55,52.51,49.11,48.27,48.54,48.28,48.20,47.38,46.41,46.23,46.74,46.30,47.55,49.31,49.32,50.67,50.86,50.08,52.18,56.23,54.22,52.85,53.59,53.85,51.64,53.42,53.01,53.85,54.27,54.32,54.98,55.74,55.24,55.31,55.31,55.13,54.95,54.99,54.55,55.17,56.76,57.22,57.79,60.24,60.39,59.44,60.31,60.51,58.43,57.99,57.29,56.69,56.05,57.72,59.64,61.50,64.01,65.97,68.60,70.22,67.01,69.52,68.36,65.49,64.67,65.79,65.83,65.65,67.47,63.95,64.97,65.22,65.49,68.63,71.28,73.34,72.64,76.24,82.00,79.92,82.04,85.09,85.43,82.33,81.76,82.39,82.83,88.37,95.10,104.28,106.80,97.83,90.50,86.30,85.36,85.82,89.97,95.41,95.60,98.49,105.03,111.36,112.71,114.45,118.22,117.72,117.68,117.18,115.45,113.16,112.87,111.37,111.19,105.70,104.73,103.18,98.68,99.74,100.93,100.65,97.07,100.13,101.94,103.79,109.05,108.22,107.77,111.02,111.28,113.36,118.19,124.03,119.63,118.71,116.11,116.44,117.00,112.56,105.66,114.07,109.64,114.22,123.68,159.39
